Front,Back,Left,Right,Command
128.44,82.77,81.02,74.99,front
127.98,196.38,80.09,74.95,front
127.59,84.15,79.73,74.88,front
128.54,82.43,79.51,66.38,front
128.54,83.95,79.95,63.33,front
126.72,72.15,79.73,74.51,front
125.15,84.64,78.97,74.72,front
126.16,84.63,78.17,71.79,front
124.92,84.15,78.51,74.36,front
123.56,86.09,78.39,73.59,front
123.73,93.87,77.52,73.37,front
123.86,83.66,77.08,74.29,front
123.62,94.59,75.28,72.54,front
121.87,138.58,75.82,71.43,front
120.26,87.94,74.17,71.74,front
119.36,88.2,73.1,66.74,front
119.22,142.32,72.66,71.93,front
118.8,96.2,73.02,68.75,front
118.13,98.79,73.29,72.06,front
116.23,79.63,71.86,71.01,front
115.86,93.55,70.4,71.81,front
116.37,79.8,70.24,70.04,front
113.7,73.64,69.73,61.23,front
113.71,83.42,69.5,69.68,front
114.07,82.81,68.1,60.89,front
112.17,82.59,67.06,69.68,front
111.06,82.54,66.52,71.06,front
109.12,83.13,66.96,55.96,front
109.58,84.66,65.3,70.53,front
109.97,104.52,66.22,59.38,front
108.51,78.39,64.45,58.5,front
108.83,99.43,62.24,71.18,front
108.14,87.18,63.95,59.59,front
107.29,52,62.32,93.16,front
104.63,86.87,61.54,122.16,front
104.31,70.7,59.33,108.15,front
103.8,104.38,61,68.94,front
103.02,91.22,61.52,102.36,front
102.12,90.42,58.24,69.72,front
101.1,92.74,56.9,120.72,front
99.57,93.06,58.46,91.65,front
100.69,94.98,58.23,59.82,front
98.8,96.49,58.16,86,front
98.72,95.27,55.81,86.67,front
96.02,96.46,54.15,87.67,front
97.53,94.98,54.6,84.08,front
80.39,95.3,53.92,92.67,front
97.53,53.72,53.5,95.44,front
92.74,97.92,52.31,101.15,front
94.84,100.1,52.65,97,front
94.84,100.5,51.26,87.6,front
94.08,103.94,51.68,90.8,front
93.42,107,49.83,86.05,front
91.38,108.41,50.46,103.09,front
91.49,108.51,50.29,88.86,front
89.22,106.98,48.88,98.7,front
86,104.01,47.46,106.34,front
88.74,109.67,46.84,88.35,front
84.52,104.92,46.72,69.09,front
85.03,118.49,45.66,86.79,front
83.52,93.59,45.05,87.35,front
84.58,108.21,44.88,88.93,front
81.65,105.71,45.15,84.06,front
83.74,83.59,43.44,89,front
81.16,111.2,42.76,84.75,front
83.52,111.95,42.53,69.16,front
81.6,112.27,41.31,107.85,front
81.23,111.91,41.36,71.25,front
83.32,75.23,40.15,82.45,front
80.24,90.88,39.66,80.5,front
80.39,115.21,39.75,83.93,front
81.06,88.49,39.25,82.7,front
78.91,61.51,38.18,96.7,front
79.31,89.23,37.32,54.64,front
77.5,90.17,37.43,91.02,front
76.81,89.98,36.01,86.73,front
76.87,91.36,35.89,72.06,front
74.29,92.63,35.26,104.41,front
75.46,91.78,35.51,102.95,front
73.2,95.51,33.81,74.38,front
72.95,93.06,33.59,93.42,front
72.16,93.7,33.44,74.29,front
71.6,95.86,33.22,89.49,front
73.02,95.01,32.91,96.88,front
73.56,95.63,32.56,68.97,front
71.59,60.18,31.3,77.03,front
68.71,97.6,30.31,67.3,front
68.36,46.12,30.23,69.56,front
68.1,72.71,28.87,66.01,front
67.81,72.71,29.19,71.35,front
65.64,99.21,29.04,59.11,front
65.74,99.14,28.02,101.35,front
64.67,83.3,27.2,55.1,front
63.65,100.81,26.55,62.73,front
62.95,49.39,25.69,61.8,front
62.71,103.73,26.66,60.28,front
62.17,103.02,32.67,91.78,front
61.08,94.23,26.13,60.23,front
60.54,104.5,24.09,53.58,front
59.36,63.09,23.95,57.44,front
59.25,108.12,25.36,49.76,front
58.43,107.24,36.94,52.26,front
57.53,107.98,36.47,52.02,front
